Player,FPTS
Damiere Byrd,65.5
Tyron Johnson,65.2
Kyle Juszczyk,64.8
Richie James Jr.,64.8
Tyler Conklin,64.1
Quintez Cephus,64.1
David Njoku,64
Byron Pringle,63.4
Cordarrelle Patterson,63.3
Justin Jackson,63.3
Jimmy Graham,63
Dyami Brown,63
Marlon Mack,62.7
Devontae Booker,62.4
Travis Fulgham,62.4
DeeJay Dallas,61.9
Jake Funk,61.5
Jeff Wilson Jr.,61
Dalton Schultz,59.7
Andy Dalton,57.7
Nick Boyle,57.4
Chuba Hubbard,57.3
Mark Ingram II,57.3
Tutu Atwell,57.3
Kenneth Gainwell,56.9
Maxx Williams,56.7
Rhamondre Stevenson,56.6
Geoff Swaim,55.4
Wayne Gallman,55.1
Drew Sample,55
Kyle Rudolph,54.8
Auden Tate,54.8
Larry Rountree III,54.6
Isaiah McKenzie,54.4
Trayveon Williams,53.8
Scotty Miller,53.6
Isaiah Coulter,53.3
Cameron Brate,53.1
James O'Shaughnessy,51.9
Amari Rodgers,49.9
Brian Hill,48.8
Greg Ward,48.5
Jalen Richard,47.2
Donovan Peoples-Jones,46.8
Samaje Perine,46.7
Darren Fells,46.5
Harrison Bryant,46.2
Pat Freiermuth,44.5
Mike Boone,43.8
Javian Hawkins,43.8
Devin Duvernay,43.3
Benny Snell Jr.,43
Bisi Johnson,42.8
N'Keal Harry,42.7
Hunter Long,42.6
Matt Breida,42.3
Albert Okwuegbunam,42.2
Peyton Barber,42
Foster Moreau,41.8
Adam Shaheen,41.8
Dez Fitzpatrick,41.2
Ian Thomas,40.9
Marquise Goodwin,40.9
Tyler Kroft,39.7
Carlos Hyde,38.8
Collin Johnson,38.8
Pharaoh Brown,38.3
Ryan Izzo,38.2
Johnny Stanton,38
Phillip Dorsett II,38
Chris Manhertz,37.7
Brandon Bolden,37.1
Willie Snead IV,36.4
Jermar Jefferson,35.2
Noah Gray,34.8
David Moore,34.3
Jacob Harris,34
Ty Montgomery,34
Freddie Swain,34
Matt Sokol,33
Elijah Mitchell,32.2
